url_length,num_dots,has_https,has_at,has_hyphen,has_ip,num_subdomains,has_password_field,num_forms,external_form_action,hidden_inputs,num_iframes,suspicious_keywords,has_suspicious_js,external_resources_ratio,title_has_login,label
24,1,1,0,0,0,0,1,1,0,12,0,2,0,0.75,1,0
34,2,1,0,0,0,1,1,2,0,6,0,3,1,0.0,1,0
33,2,1,0,0,0,1,0,0,0,0,0,1,0,0.46153846153846156,1,0
30,2,1,0,0,0,1,1,1,0,22,0,0,0,0.40625,0,0
30,2,1,0,0,0,1,1,2,0,29,0,1,0,0.40425531914893614,1,0
23,2,1,0,0,0,1,1,1,0,5,0,2,0,0.45454545454545453,1,0
37,2,1,0,0,0,1,0,1,0,0,0,1,0,0.9473684210526315,0,0
36,3,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0
23,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
37,1,1,0,0,0,0,0,0,0,0,0,1,0,0.8571428571428571,1,0
37,1,1,0,0,0,0,1,2,0,4,0,1,1,0.0847457627118644,1,0
28,2,1,0,0,0,1,1,2,0,31,1,0,0,0.0,1,0
32,2,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0
33,2,1,0,0,0,1,0,0,0,0,0,5,0,0.4,0,0
29,2,1,0,0,0,1,0,0,0,0,0,0,0,0.38202247191011235,1,0
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,5,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
21,0,0,0,0,0,0,1,1,0,2,0,3,0,1.0,1,1
22,2,1,0,0,0,1,0,1,0,6,0,1,0,0.0,0,0
25,2,1,0,0,0,1,0,1,0,2,0,1,0,0.1,0,0
23,2,1,0,0,0,1,0,0,0,0,1,4,1,0.6470588235294118,0,0
22,2,1,0,0,0,1,0,1,0,3,0,0,1,0.4,0,0
21,2,1,0,0,0,1,0,1,0,4,0,8,0,0.15584415584415584,0,0
